hw-rankselect-0.13.3.1,real,8.317,0,1,66.25,62.5,66.25,63.0,63.0,61.0,60.75,63.0,63.5,63.25
hw-rankselect-0.13.3.1,user,374.843,0,1,66.25,62.5,66.25,63.0,63.0,61.0,60.75,63.0,63.5,63.25
hw-rankselect-0.13.3.1,sys,223.987,0,1,66.25,62.5,66.25,63.0,63.0,61.0,60.75,63.0,63.5,63.25
hw-rankselect-0.13.3.1,real,8.317,0,1,66.25,62.5,66.25,63.0,63.0,61.0,60.75,63.0,63.5,63.25
hw-rankselect-0.13.3.1,user,374.843,0,1,66.25,62.5,66.25,63.0,63.0,61.0,60.75,63.0,63.5,63.25
hw-rankselect-0.13.3.1,sys,223.987,0,1,66.25,62.5,66.25,63.0,63.0,61.0,60.75,63.0,63.5,63.25
hw-rankselect-0.13.3.1,real,8.317,0,1,66.25,62.5,66.25,63.0,63.0,61.0,60.75,63.0,63.5,63.25
hw-rankselect-0.13.3.1,user,374.843,0,1,66.25,62.5,66.25,63.0,63.0,61.0,60.75,63.0,63.5,63.25
hw-rankselect-0.13.3.1,sys,223.987,0,1,66.25,62.5,66.25,63.0,63.0,61.0,60.75,63.0,63.5,63.25
hw-rankselect-0.13.3.1,real,7.934,0,2,67.125,65.0,67.125,63.75,64.5,61.75,61.5,63.5,64.0,62.75
hw-rankselect-0.13.3.1,user,349.481,0,2,67.125,65.0,67.125,63.75,64.5,61.75,61.5,63.5,64.0,62.75
hw-rankselect-0.13.3.1,sys,239.852,0,2,67.125,65.0,67.125,63.75,64.5,61.75,61.5,63.5,64.0,62.75
hw-rankselect-0.13.3.1,real,7.934,0,2,67.125,65.0,67.125,63.75,64.5,61.75,61.5,63.5,64.0,62.75
hw-rankselect-0.13.3.1,user,349.481,0,2,67.125,65.0,67.125,63.75,64.5,61.75,61.5,63.5,64.0,62.75
hw-rankselect-0.13.3.1,sys,239.852,0,2,67.125,65.0,67.125,63.75,64.5,61.75,61.5,63.5,64.0,62.75
hw-rankselect-0.13.3.1,real,7.934,0,2,67.125,65.0,67.125,63.75,64.5,61.75,61.5,63.5,64.0,62.75
hw-rankselect-0.13.3.1,user,349.481,0,2,67.125,65.0,67.125,63.75,64.5,61.75,61.5,63.5,64.0,62.75
hw-rankselect-0.13.3.1,sys,239.852,0,2,67.125,65.0,67.125,63.75,64.5,61.75,61.5,63.5,64.0,62.75
hw-rankselect-0.13.3.1,real,7.785,0,3,67.875,63.75,67.875,64.75,65.0,62.5,63.75,64.5,65.0,63.25
hw-rankselect-0.13.3.1,user,367.326,0,3,67.875,63.75,67.875,64.75,65.0,62.5,63.75,64.5,65.0,63.25
hw-rankselect-0.13.3.1,sys,204.635,0,3,67.875,63.75,67.875,64.75,65.0,62.5,63.75,64.5,65.0,63.25
hw-rankselect-0.13.3.1,real,7.785,0,3,67.875,63.75,67.875,64.75,65.0,62.5,63.75,64.5,65.0,63.25
hw-rankselect-0.13.3.1,user,367.326,0,3,67.875,63.75,67.875,64.75,65.0,62.5,63.75,64.5,65.0,63.25
hw-rankselect-0.13.3.1,sys,204.635,0,3,67.875,63.75,67.875,64.75,65.0,62.5,63.75,64.5,65.0,63.25
hw-rankselect-0.13.3.1,real,7.785,0,3,67.875,63.75,67.875,64.75,65.0,62.5,63.75,64.5,65.0,63.25
hw-rankselect-0.13.3.1,user,367.326,0,3,67.875,63.75,67.875,64.75,65.0,62.5,63.75,64.5,65.0,63.25
hw-rankselect-0.13.3.1,sys,204.635,0,3,67.875,63.75,67.875,64.75,65.0,62.5,63.75,64.5,65.0,63.25
hw-rankselect-0.13.3.1,real,8.145,0,4,68.625,64.25,68.625,65.25,65.5,63.25,62.75,65.0,67.5,64.0
hw-rankselect-0.13.3.1,user,372.501,0,4,68.625,64.25,68.625,65.25,65.5,63.25,62.75,65.0,67.5,64.0
hw-rankselect-0.13.3.1,sys,224.053,0,4,68.625,64.25,68.625,65.25,65.5,63.25,62.75,65.0,67.5,64.0
hw-rankselect-0.13.3.1,real,8.145,0,4,68.625,64.25,68.625,65.25,65.5,63.25,62.75,65.0,67.5,64.0
hw-rankselect-0.13.3.1,user,372.501,0,4,68.625,64.25,68.625,65.25,65.5,63.25,62.75,65.0,67.5,64.0
hw-rankselect-0.13.3.1,sys,224.053,0,4,68.625,64.25,68.625,65.25,65.5,63.25,62.75,65.0,67.5,64.0
hw-rankselect-0.13.3.1,real,8.145,0,4,68.625,64.25,68.625,65.25,65.5,63.25,62.75,65.0,67.5,64.0
hw-rankselect-0.13.3.1,user,372.501,0,4,68.625,64.25,68.625,65.25,65.5,63.25,62.75,65.0,67.5,64.0
hw-rankselect-0.13.3.1,sys,224.053,0,4,68.625,64.25,68.625,65.25,65.5,63.25,62.75,65.0,67.5,64.0
hw-rankselect-0.13.3.1,real,8.255,0,5,69.25,65.75,69.25,65.75,66.5,64.0,63.25,65.5,66.5,65.5
hw-rankselect-0.13.3.1,user,390.579,0,5,69.25,65.75,69.25,65.75,66.5,64.0,63.25,65.5,66.5,65.5
hw-rankselect-0.13.3.1,sys,234.140,0,5,69.25,65.75,69.25,65.75,66.5,64.0,63.25,65.5,66.5,65.5
hw-rankselect-0.13.3.1,real,8.255,0,5,69.25,65.75,69.25,65.75,66.5,64.0,63.25,65.5,66.5,65.5
hw-rankselect-0.13.3.1,user,390.579,0,5,69.25,65.75,69.25,65.75,66.5,64.0,63.25,65.5,66.5,65.5
hw-rankselect-0.13.3.1,sys,234.140,0,5,69.25,65.75,69.25,65.75,66.5,64.0,63.25,65.5,66.5,65.5
