PROJ,DEF_DECISIONS,B_DECISIONS,DEF_Y,DEF_N,D_AVG_SZ,B_AVG_SZ
1,poly-0.3.3.0,1405465,2635700,99848,82810,17.4021011938146,31.9297910880328
2,hw-rankselect-0.13.3.1,1166781,1515164,65746,82105,13.6416968332674,18.2837220632117
3,ListLike-4.6.3,910967,999237,65602,68440,15.3995000152434,18.9630917592051
4,loop-0.3.0,363940,384689,20557,21643,20.57474339641,25.4325648015525
5,nonempty-containers-0.3.3.0,920901,1769534,46075,48379,25.5579815518177,31.433018458422
